Gem Name,Tier,IsLineage,Tags
Herald of Ash,4,False,"Buff,Persistent,AoE,Fire,Duration,Herald"
Iron Ward,4,False,"Buff,Persistent,AoE,Physical,Nova"
Magma Barrier,4,False,"Buff,Attack,Persistent,AoE,Melee,Trigger,Fire"
Scavenged Plating,4,False,"Buff,Persistent,Physical,Duration"
Overwhelming Presence,8,False,"Buff,Persistent,Aura"
Time of Need,8,False,"Buff,Persistent,Duration"
Berserk,14,False,"Buff,Persistent"
Eternal Rage,14,False,"Buff,Persistent"
Herald of Thunder,4,False,"Buff,Attack,Persistent,AoE,Lightning,Herald,Payoff"
Plague Bearer,4,False,"Buff,Persistent,AoE,Physical,Chaos,Nova"
Wind Dancer,4,False,"Buff,Attack,Persistent,AoE,Melee,Trigger,Staged"
Combat Frenzy,8,False,"Buff,Persistent"
Herald of Plague,8,False,"Buff,Persistent,Chaos,Herald"
Mirage Archer,8,False,"Buff,Persistent,Trigger,Duration,Meta"
Trail of Caltrops,8,False,"Attack,Buff,Persistent,AoE,Projectile,Trigger,Physical,Duration,Hazard"
Alchemist's Boon,14,False,"Buff,Persistent,Aura"
Rhoa Mount,14,False,"Minion,Buff,Companion,Persistent"
Arctic Armour,4,False,"Buff,Spell,Persistent,Sustained,Cold,Staged"
Convalescence,4,False,"Spell,Buff,Persistent,Duration"
Grim Feast,4,False,"Buff,Spell,Minion,Persistent,Remnant"
Mana Remnants,4,False,"Buff,Persistent,Remnant"
Raging Spirits,4,False,"Buff,Minion,Persistent,Fire,Duration"
Ravenous Swarm,4,False,"Buff,Minion,Persistent,Physical,Chaos,Duration"
Withering Presence,4,False,"Buff,Persistent,Aura,Chaos,Duration"
Blasphemy,8,False,"Buff,Persistent,AoE,Aura,Meta"
Blink,8,False,"Buff,Spell,Persistent,Travel"
Cast on Minion Death,8,False,"Buff,Minion,Persistent,Trigger,Meta"
Siphon Elements,8,False,"Buff,Persistent,Lightning,Cold,Fire,Remnant"
Archmage,14,False,"Buff,Persistent,Lightning"
Cast on Critical,14,False,"Buff,Persistent,Trigger,Meta"
Cast on Elemental Ailment,14,False,"Buff,Persistent,Trigger,Lightning,Cold,Fire,Meta"
Elemental Conflux,14,False,"Buff,Persistent,Lightning,Cold,Fire,Duration"
Sacrifice,14,False,"Buff,Minion,Persistent"
Attrition,4,False,"Buff,Persistent"
Briarpatch,4,False,"Buff,Spell,Persistent,AoE,Sustained,Physical,Duration,Plant"
Ghost Dance,4,False,"Buff,Persistent,Duration"
Herald of Blood,4,False,"Buff,Attack,Persistent,AoE,Physical,Herald,Payoff"
Herald of Ice,4,False,"Buff,Attack,Persistent,AoE,Cold,Herald,Payoff"
Savage Fury,4,False,"Buff,Persistent,Duration"
War Banner,4,False,"Banner,Buff,Persistent,AoE,Aura,Duration,Conditional"
Barkskin,8,False,"Buff,Persistent,Duration"
Barrier Invocation,8,False,"Buff,Persistent,Trigger,Invocation,Meta"
Defiance Banner,8,False,"Banner,Buff,Persistent,AoE,Aura,Duration,Conditional"
Elemental Invocation,8,False,"Buff,Persistent,Trigger,Lightning,Cold,Fire,Invocation,Meta"
Lingering Illusion,8,False,"Buff,Persistent,Duration,Remnant"
Shard Scavenger,8,False,"Buff,Persistent,Physical,Lightning,Cold,Fire,Duration"
Wolf Pack,8,False,"Minion,Companion,Persistent,Physical"
Cast on Dodge,14,False,"Buff,Persistent,Trigger,Meta"
Charge Regulation,14,False,"Buff,Persistent"
Dread Banner,14,False,"Banner,Buff,Persistent,AoE,Aura,Duration,Conditional"
Feral Invocation,14,False,"Buff,Persistent,Invocation,Meta"
Reaper's Invocation,14,False,"Buff,Persistent,Trigger,Invocation,Meta"
Trinity,14,False,"Buff,Persistent,Lightning,Cold,Fire"
